,NAV
2012-05-25,0.642260626336058
2012-05-28,0.6302803036896031
2012-05-29,0.6334710569184846
2012-05-30,0.6323318606321204
2012-05-31,0.6322499436745637
2012-06-01,0.6271080246807877
2012-06-04,0.6111407407318148
2012-06-05,0.6064462634990285
2012-06-06,0.5766293181377584
2012-06-07,0.5715144456238982
2012-06-08,0.5734453302644226
2012-06-11,0.5678281157380326
2012-06-12,0.567147878169365
2012-06-13,0.5715602179890281
2012-06-14,0.5740783176033903
2012-06-15,0.5716848941158519
2012-06-18,0.5734720297344403
2012-06-19,0.5671841746173921
2012-06-20,0.5543696065060713
2012-06-21,0.5539313581763518
2012-06-25,0.5628303440591674
2012-06-26,0.5736775533048365
2012-06-27,0.5690070092029328
2012-06-28,0.573040531037661
2012-06-29,0.576323393620043
2012-07-02,0.5707946995063992
2012-07-03,0.5676092102432079
2012-07-04,0.558696782973799
2012-07-05,0.5629413283207522
2012-07-06,0.5708641126631464
2012-07-09,0.5702641721055202
2012-07-10,0.5660942800364576
2012-07-11,0.5686632546956452
2012-07-12,0.5611228869920053
2012-07-13,0.562098652166152
2012-07-16,0.5620863589027438
2012-07-17,0.568873195274126
2012-07-18,0.569117124892281
2012-07-19,0.5739813453852779
2012-07-20,0.5781947837259501
2012-07-23,0.5766036120126731
2012-07-24,0.5767769267846647
2012-07-25,0.5785003385621226
2012-07-26,0.5850424015315786
2012-07-27,0.5870784875929911
2012-07-30,0.5858251945770757
2012-07-31,0.5808486913041735
2012-08-01,0.5746086658915684
2012-08-02,0.5808572881023458
2012-08-03,0.5780559660224622
2012-08-06,0.5795255272952571
2012-08-07,0.5790476306230884
2012-08-08,0.5774858080331159
2012-08-09,0.5853038801338873
2012-08-10,0.5892137660312283
2012-08-13,0.5893360445903671
2012-08-14,0.5895559801939465
2012-08-15,0.5922935160054867
2012-08-16,0.5899409331796253
2012-08-17,0.5941481712310049
2012-08-20,0.5945080742554645
2012-08-21,0.5924611406838421
2012-08-22,0.5940107487340667
2012-08-23,0.5987649168839455
2012-08-24,0.603308253514667
2012-08-27,0.6022385738365799
2012-08-28,0.603356732244312
2012-08-29,0.6053237198993152
2012-08-30,0.6077645536139691
2012-08-31,0.6064027443859309
2012-09-03,0.6105985264644566
2012-09-04,0.6179634844407045
2012-09-05,0.613590577808661
2012-09-06,0.6090702375122624
2012-09-07,0.5990783940505771
2012-09-10,0.6003541178807709
2012-09-11,0.604932087763709
2012-09-12,0.6102830201108552
2012-09-13,0.6129510987892456
2012-09-14,0.6107160737259941
2012-09-17,0.6168860585701428
2012-09-18,0.6215196975291141
2012-09-19,0.6247265307359511
2012-09-20,0.6140410545411968
2012-09-21,0.6125004326038235
2012-09-24,0.6126309422360632
2012-09-25,0.6215590941384711
2012-09-26,0.6187999651424867
2012-09-27,0.6070584707904848
2012-09-28,0.6031496220969298
2012-10-08,0.5946686244586633
2012-10-09,0.5922633712306379
2012-10-10,0.5813532347099866
2012-10-11,0.5887689908414082
2012-10-12,0.5862863222897008
2012-10-15,0.584749065296001
2012-10-16,0.5854864232327279
2012-10-17,0.5886656274183603
2012-10-18,0.5857268157176405
2012-10-19,0.5808232346218672
2012-10-22,0.5742659752458168
2012-10-23,0.5756349763684104
2012-10-24,0.5783464984125971
2012-10-25,0.5692516547396137
2012-10-26,0.5709035859953556
2012-10-29,0.5777221425394045
2012-10-30,0.5843463639651664
2012-10-31,0.5850651539296773
2012-11-01,0.5882381287897719
2012-11-02,0.5860903342724405
2012-11-05,0.5833996456058793
2012-11-06,0.5833322844847857
2012-11-07,0.583046769118212
2012-11-08,0.5861771786194904
2012-11-09,0.5891022924705572
2012-11-12,0.5892060449068154
2012-11-13,0.5719593720953212
2012-11-14,0.5782409975736983
2012-11-15,0.5847517669418809
2012-11-16,0.5846912534799664
2012-11-19,0.5841184970622774
2012-11-20,0.5848382294213642
2012-11-21,0.5855990251919512
2012-11-22,0.5805222350742284
2012-11-23,0.5815603331668163
2012-11-26,0.5815626352620211
2012-11-27,0.5741232507544288
2012-11-28,0.5711420703844966
2012-11-29,0.5695453274097404
2012-11-30,0.5648675394231207
2012-12-03,0.5580022004522233
2012-12-04,0.5553624950162017
2012-12-05,0.5569757497641865
2012-12-06,0.5585771682461271
2012-12-07,0.5515376478481108
2012-12-10,0.5558165341175353
2012-12-11,0.5558515632869637
2012-12-12,0.559889373075628
2012-12-13,0.561619201141061
2012-12-14,0.5577876852783136
2012-12-17,0.5473358960434553
2012-12-18,0.5490097868552547
2012-12-19,0.5480119039393123
2012-12-20,0.5425378957677814
2012-12-21,0.5367625447840709
2012-12-24,0.5356326770589301
2012-12-25,0.5409366439381884
2012-12-26,0.5401334338418032
2012-12-27,0.5417556091901823
2012-12-28,0.5373414707101835
2012-12-31,0.5355305775428957
2013-01-04,0.5394585234462034
2013-01-07,0.5471683741760194
2013-01-08,0.5466265134465379
2013-01-09,0.5500378673077293
2013-01-10,0.5467636364253012
2013-01-11,0.5453360494091594
2013-01-14,0.5463092030790316
2013-01-15,0.5438530205677359
2013-01-16,0.5474435986503067
2013-01-17,0.5559516785930622
2013-01-18,0.5567252334312158
2013-01-21,0.5578492867094331
2013-01-22,0.5533988350906082
2013-01-23,0.5590196711927207
2013-01-24,0.5643171281295196
2013-01-25,0.5621619958364805
2013-01-28,0.564431531209196
2013-01-29,0.5612702356167697
2013-01-30,0.5569953907529521
2013-01-31,0.5514183166014184
2013-02-01,0.5382602745261762
2013-02-04,0.5405463247658623
2013-02-05,0.5376931765226829
2013-02-06,0.5410252112018712
2013-02-07,0.5479254145775404
2013-02-08,0.5483101370758462
2013-02-18,0.5468128635430968
2013-02-19,0.5465700215115571
2013-02-20,0.5461108176315177
2013-02-21,0.5353726941630842
2013-02-22,0.5367344271458085
2013-02-25,0.5372653134397859
2013-02-26,0.5419404890741056
2013-02-27,0.5402705255296901
2013-02-28,0.5452136602780512
2013-03-01,0.5472942698538228
2013-03-04,0.5487075017841414
2013-03-05,0.5421764517049754
2013-03-06,0.5501350731792326
2013-03-07,0.5546461554708232
2013-03-08,0.5541197683950029
2013-03-11,0.553644781300431
2013-03-12,0.5497068373585956
2013-03-13,0.5448818905584402
2013-03-14,0.5415046575012864
2013-03-15,0.5450206541119318
2013-03-18,0.5463169440672233
2013-03-19,0.5430572860870179
2013-03-20,0.5463317710233033
2013-03-21,0.5489175260095157
2013-03-22,0.5503747419311668
2013-03-25,0.552517269115911
2013-03-26,0.5525515755087694
2013-03-27,0.5533499268803213
